epoch,tra_loss,val_loss,tra_dice,val_dice,tra_batch_dice,val_batch_dice,tra_entropy,val_entropy,tra_KL,val_KL
52,0.0046,0.0434,0.8706,0.5783,0.8706,0.5783,0.0046,0.0433,0.0000,0.0000
53,0.0045,0.0469,0.8830,0.5962,0.8830,0.5962,0.0045,0.0469,0.0000,0.0000
54,0.0045,0.0498,0.8905,0.5804,0.8905,0.5804,0.0045,0.0497,0.0000,0.0000
55,0.0042,0.0473,0.8974,0.5942,0.8974,0.5942,0.0042,0.0473,0.0000,0.0000
56,0.0042,0.0433,0.8822,0.6089,0.8822,0.6089,0.0042,0.0433,0.0000,0.0000
57,0.0043,0.0516,0.8942,0.5402,0.8942,0.5402,0.0043,0.0516,0.0000,0.0000
58,0.0043,0.0466,0.8811,0.5653,0.8811,0.5653,0.0043,0.0466,0.0000,0.0000
59,0.0041,0.0478,0.8957,0.5694,0.8957,0.5694,0.0041,0.0477,0.0000,0.0000
60,0.0041,0.0442,0.8876,0.6010,0.8876,0.6010,0.0041,0.0442,0.0000,0.0000
61,0.0041,0.0508,0.8973,0.5622,0.8973,0.5622,0.0041,0.0508,0.0000,0.0000
62,0.0039,0.0511,0.9058,0.5973,0.9058,0.5973,0.0039,0.0511,0.0000,0.0000
63,0.0039,0.0437,0.9030,0.5926,0.9030,0.5926,0.0039,0.0437,0.0000,0.0000
64,0.0039,0.0475,0.9064,0.5876,0.9064,0.5876,0.0039,0.0475,0.0000,0.0000
65,0.0037,0.0497,0.8963,0.5827,0.8963,0.5827,0.0037,0.0497,0.0000,0.0000
66,0.0038,0.0508,0.8954,0.5923,0.8954,0.5923,0.0038,0.0508,0.0000,0.0000
67,0.0038,0.0461,0.9089,0.5739,0.9089,0.5739,0.0038,0.0461,0.0000,0.0000
68,0.0038,0.0461,0.9110,0.5986,0.9110,0.5986,0.0038,0.0461,0.0000,0.0000
69,0.0035,0.0471,0.9109,0.5768,0.9109,0.5768,0.0035,0.0470,0.0000,0.0000
70,0.0036,0.0514,0.9087,0.5687,0.9087,0.5687,0.0036,0.0514,0.0000,0.0000
71,0.0038,0.0502,0.9070,0.6020,0.9070,0.6020,0.0038,0.0502,0.0000,0.0000
72,0.0036,0.0493,0.9120,0.5792,0.9120,0.5792,0.0036,0.0493,0.0000,0.0000
73,0.0035,0.0480,0.9175,0.6164,0.9175,0.6164,0.0035,0.0480,0.0000,0.0000
74,0.0036,0.0459,0.9116,0.6214,0.9116,0.6214,0.0036,0.0459,0.0000,0.0000
75,0.0035,0.0510,0.9129,0.5716,0.9129,0.5716,0.0035,0.0510,0.0000,0.0000
76,0.0036,0.0480,0.9127,0.6212,0.9127,0.6212,0.0036,0.0480,0.0000,0.0000
77,0.0033,0.0488,0.9148,0.6112,0.9148,0.6112,0.0033,0.0488,0.0000,0.0000
78,0.0032,0.0486,0.9216,0.5875,0.9216,0.5875,0.0032,0.0486,0.0000,0.0000
79,0.0032,0.0526,0.9175,0.5970,0.9175,0.5970,0.0032,0.0526,0.0000,0.0000
80,0.0033,0.0564,0.9190,0.5805,0.9190,0.5805,0.0033,0.0564,0.0000,0.0000
81,0.0033,0.0554,0.9191,0.5860,0.9191,0.5860,0.0033,0.0554,0.0000,0.0000
82,0.0035,0.0468,0.8988,0.6080,0.8988,0.6080,0.0035,0.0468,0.0000,0.0000
83,0.0034,0.0531,0.9093,0.6109,0.9093,0.6109,0.0034,0.0531,0.0000,0.0000
84,0.0031,0.0491,0.9310,0.5915,0.9310,0.5915,0.0031,0.0491,0.0000,0.0000
85,0.0031,0.0496,0.9253,0.6161,0.9253,0.6161,0.0031,0.0495,0.0000,0.0000
