epoch,tra_loss,val_loss,tra_dice,val_dice,tra_batch_dice,val_batch_dice
0,0.6903,0.4177,0.0048,0.2315,0.0048,0.2315
1,0.3326,0.2693,0.0000,0.2222,0.0000,0.2222
2,0.2238,0.1879,0.0000,0.3704,0.0000,0.3704
3,0.1569,0.1393,0.2057,0.4545,0.2057,0.4545
4,0.1145,0.1010,0.3363,0.5053,0.3363,0.5053
5,0.0874,0.0818,0.4148,0.5074,0.4148,0.5074
6,0.0688,0.0692,0.4961,0.5142,0.4961,0.5142
7,0.0552,0.0594,0.5399,0.4278,0.5399,0.4278
8,0.0454,0.0489,0.5514,0.4831,0.5514,0.4831
9,0.0373,0.0451,0.5376,0.5334,0.5376,0.5334
10,0.0321,0.0409,0.5717,0.5991,0.5717,0.5991
11,0.0279,0.0372,0.5908,0.4340,0.5908,0.4340
12,0.0237,0.0381,0.6403,0.5578,0.6403,0.5578
13,0.0212,0.0371,0.6428,0.5133,0.6428,0.5133
14,0.0202,0.0376,0.6464,0.4972,0.6464,0.4972
15,0.0171,0.0354,0.6806,0.5685,0.6806,0.5685
16,0.0155,0.0385,0.6919,0.5061,0.6919,0.5061
17,0.0141,0.0333,0.7133,0.5754,0.7133,0.5754
18,0.0128,0.0386,0.7199,0.5175,0.7199,0.5175
19,0.0120,0.0364,0.7364,0.5207,0.7364,0.5207
20,0.0113,0.0396,0.7496,0.5243,0.7496,0.5243
21,0.0102,0.0363,0.7748,0.5260,0.7748,0.5260
22,0.0103,0.0441,0.7683,0.5091,0.7683,0.5091
23,0.0095,0.0377,0.7828,0.5117,0.7828,0.5117
24,0.0095,0.0437,0.7925,0.5546,0.7925,0.5546
25,0.0089,0.0395,0.7944,0.5293,0.7944,0.5293
26,0.0086,0.0386,0.8112,0.5460,0.8112,0.5460
27,0.0081,0.0440,0.8145,0.4833,0.8145,0.4833
28,0.0075,0.0447,0.8327,0.5170,0.8327,0.5170
29,0.0076,0.0412,0.8203,0.5373,0.8203,0.5373
30,0.0074,0.0432,0.8194,0.5872,0.8194,0.5872
31,0.0071,0.0409,0.8266,0.5612,0.8266,0.5612
32,0.0074,0.0406,0.8293,0.5500,0.8293,0.5500
33,0.0063,0.0523,0.8562,0.5589,0.8562,0.5589
34,0.0063,0.0482,0.8497,0.5183,0.8497,0.5183
35,0.0062,0.0453,0.8484,0.5047,0.8484,0.5047
36,0.0065,0.0500,0.8474,0.5066,0.8474,0.5066
37,0.0065,0.0540,0.8419,0.5347,0.8419,0.5347
38,0.0058,0.0489,0.8513,0.5511,0.8513,0.5511
39,0.0065,0.0513,0.8511,0.5253,0.8511,0.5253
40,0.0057,0.0490,0.8635,0.5092,0.8635,0.5092
41,0.0054,0.0508,0.8648,0.5335,0.8648,0.5335
42,0.0056,0.0545,0.8783,0.4791,0.8783,0.4791
43,0.0056,0.0490,0.8677,0.5590,0.8677,0.5590
44,0.0052,0.0666,0.8706,0.4170,0.8706,0.4170
45,0.0057,0.0542,0.8682,0.5473,0.8682,0.5473
46,0.0052,0.0561,0.8755,0.5291,0.8755,0.5291
47,0.0053,0.0572,0.8703,0.4613,0.8703,0.4613
48,0.0050,0.0533,0.8826,0.4743,0.8826,0.4743
49,0.0047,0.0549,0.8959,0.5205,0.8959,0.5205
50,0.0049,0.0531,0.8796,0.4603,0.8796,0.4603
51,0.0048,0.0573,0.8889,0.4961,0.8889,0.4961
52,0.0049,0.0521,0.8764,0.4766,0.8764,0.4766
53,0.0045,0.0567,0.8950,0.5119,0.8950,0.5119
54,0.0047,0.0543,0.8903,0.5160,0.8903,0.5160
55,0.0046,0.0556,0.8819,0.5095,0.8819,0.5095
56,0.0043,0.0602,0.9009,0.5457,0.9009,0.5457
57,0.0044,0.0528,0.8992,0.5124,0.8992,0.5124
58,0.0043,0.0568,0.8925,0.5228,0.8925,0.5228
59,0.0045,0.0500,0.8991,0.5422,0.8991,0.5422
60,0.0043,0.0578,0.8935,0.5035,0.8935,0.5035
61,0.0043,0.0586,0.9006,0.5267,0.9006,0.5267
62,0.0040,0.0564,0.9047,0.5114,0.9047,0.5114
63,0.0041,0.0563,0.9048,0.5395,0.9048,0.5395
64,0.0042,0.0609,0.9027,0.5251,0.9027,0.5251
65,0.0040,0.0591,0.8959,0.5269,0.8959,0.5269
66,0.0038,0.0590,0.9102,0.4909,0.9102,0.4909
67,0.0038,0.0599,0.9085,0.5399,0.9085,0.5399
