epoch,tra_loss,val_loss,tra_dice,val_dice,tra_batch_dice,val_batch_dice
0,0.6886,0.4373,0.0144,0.0212,0.0144,0.0212
1,0.3462,0.2789,0.0004,0.2223,0.0004,0.2223
2,0.2297,0.1869,0.0000,0.2223,0.0000,0.2223
3,0.1570,0.1302,0.0026,0.2870,0.0026,0.2870
4,0.1110,0.0929,0.0417,0.2505,0.0417,0.2505
5,0.0821,0.0716,0.1794,0.3909,0.1794,0.3909
6,0.0630,0.0560,0.2588,0.3520,0.2588,0.3520
7,0.0499,0.0458,0.3259,0.4841,0.3259,0.4841
8,0.0409,0.0385,0.4622,0.5072,0.4622,0.5072
9,0.0341,0.0351,0.5027,0.5701,0.5027,0.5701
10,0.0292,0.0322,0.5200,0.5401,0.5200,0.5401
11,0.0247,0.0321,0.5537,0.4744,0.5537,0.4744
12,0.0217,0.0332,0.5890,0.5683,0.5890,0.5683
13,0.0200,0.0322,0.5985,0.5035,0.5985,0.5035
14,0.0175,0.0330,0.6078,0.4836,0.6078,0.4836
15,0.0151,0.0313,0.6642,0.5669,0.6642,0.5669
16,0.0141,0.0307,0.6921,0.5392,0.6921,0.5392
17,0.0132,0.0304,0.6715,0.5607,0.6715,0.5607
18,0.0130,0.0338,0.6793,0.5441,0.6793,0.5441
19,0.0115,0.0320,0.7159,0.5721,0.7159,0.5721
20,0.0108,0.0316,0.7229,0.5870,0.7229,0.5870
21,0.0103,0.0356,0.7486,0.6075,0.7486,0.6075
22,0.0098,0.0302,0.7555,0.6196,0.7555,0.6196
23,0.0095,0.0324,0.7562,0.6088,0.7562,0.6088
24,0.0089,0.0355,0.7851,0.5888,0.7851,0.5888
25,0.0087,0.0386,0.7617,0.5689,0.7617,0.5689
26,0.0085,0.0345,0.7832,0.5520,0.7832,0.5520
27,0.0083,0.0429,0.7902,0.5227,0.7902,0.5227
28,0.0075,0.0342,0.7709,0.6319,0.7709,0.6319
29,0.0075,0.0461,0.8104,0.5733,0.8104,0.5733
30,0.0079,0.0358,0.7982,0.6218,0.7982,0.6218
31,0.0071,0.0426,0.8112,0.5810,0.8112,0.5810
32,0.0072,0.0406,0.8037,0.5837,0.8037,0.5837
33,0.0068,0.0370,0.8235,0.6423,0.8235,0.6423
34,0.0067,0.0425,0.8235,0.5704,0.8235,0.5704
35,0.0064,0.0448,0.8146,0.5709,0.8146,0.5709
36,0.0071,0.0404,0.8085,0.5743,0.8085,0.5743
37,0.0063,0.0485,0.8405,0.5598,0.8405,0.5598
38,0.0064,0.0449,0.8222,0.5773,0.8222,0.5773
39,0.0061,0.0410,0.8469,0.6318,0.8469,0.6318
40,0.0059,0.0454,0.8480,0.6163,0.8480,0.6163
41,0.0055,0.0421,0.8569,0.6024,0.8569,0.6024
42,0.0055,0.0408,0.8494,0.6040,0.8494,0.6040
43,0.0056,0.0446,0.8449,0.6261,0.8449,0.6261
44,0.0055,0.0445,0.8526,0.5982,0.8526,0.5982
45,0.0053,0.0462,0.8636,0.5957,0.8636,0.5957
46,0.0054,0.0447,0.8630,0.6330,0.8630,0.6330
47,0.0053,0.0450,0.8564,0.6105,0.8564,0.6105
48,0.0051,0.0467,0.8625,0.5972,0.8625,0.5972
49,0.0050,0.0435,0.8696,0.6061,0.8696,0.6061
50,0.0054,0.0425,0.8651,0.6165,0.8651,0.6165
51,0.0050,0.0483,0.8742,0.5990,0.8742,0.5990
