epoch,tra_loss,val_loss,tra_dice,val_dice,tra_batch_dice,val_batch_dice
0,0.3808,0.1624,0.0269,0.2048,0.0269,0.2048
1,0.1226,0.0874,0.0340,0.3777,0.0340,0.3777
2,0.0767,0.0621,0.2178,0.4633,0.2178,0.4633
3,0.0571,0.0601,0.3432,0.5702,0.3432,0.5702
4,0.0455,0.0441,0.4454,0.5974,0.4454,0.5974
5,0.0370,0.0386,0.5164,0.5814,0.5164,0.5814
6,0.0307,0.0596,0.5376,0.4724,0.5376,0.4724
7,0.0259,0.0410,0.5953,0.5687,0.5953,0.5687
8,0.0231,0.0366,0.6010,0.6219,0.6010,0.6219
9,0.0199,0.0375,0.6285,0.5881,0.6285,0.5881
10,0.0175,0.0334,0.6775,0.6400,0.6775,0.6400
11,0.0165,0.0352,0.6844,0.6339,0.6844,0.6339
12,0.0146,0.0373,0.6952,0.5968,0.6952,0.5968
13,0.0126,0.0592,0.7246,0.5198,0.7246,0.5198
14,0.0122,0.0373,0.7379,0.6411,0.7379,0.6411
15,0.0117,0.0335,0.7398,0.6464,0.7398,0.6464
16,0.0105,0.0432,0.7672,0.6076,0.7672,0.6076
17,0.0106,0.0500,0.7603,0.5843,0.7603,0.5843
18,0.0099,0.0426,0.7832,0.6082,0.7832,0.6082
19,0.0091,0.0468,0.7884,0.5907,0.7884,0.5907
20,0.0091,0.0464,0.7971,0.6294,0.7971,0.6294
21,0.0084,0.0503,0.8099,0.6172,0.8099,0.6172
22,0.0083,0.0410,0.7977,0.6368,0.7977,0.6368
23,0.0082,0.0376,0.8090,0.6288,0.8090,0.6288
24,0.0081,0.0398,0.8072,0.6273,0.8072,0.6273
25,0.0074,0.0358,0.8244,0.6481,0.8244,0.6481
26,0.0077,0.0527,0.8074,0.5473,0.8074,0.5473
27,0.0073,0.0478,0.8283,0.5851,0.8283,0.5851
28,0.0071,0.0414,0.8228,0.6377,0.8228,0.6377
29,0.0068,0.0445,0.8407,0.6345,0.8407,0.6345
30,0.0064,0.0411,0.8438,0.6331,0.8438,0.6331
31,0.0064,0.0435,0.8386,0.5980,0.8386,0.5980
32,0.0063,0.0430,0.8374,0.6207,0.8374,0.6207
33,0.0062,0.0434,0.8492,0.6276,0.8492,0.6276
34,0.0060,0.0442,0.8611,0.6274,0.8611,0.6274
35,0.0060,0.0507,0.8559,0.6174,0.8559,0.6174
36,0.0058,0.0476,0.8561,0.6272,0.8561,0.6272
37,0.0056,0.0509,0.8648,0.5249,0.8648,0.5249
38,0.0066,0.0457,0.8494,0.6072,0.8494,0.6072
39,0.0053,0.0471,0.8809,0.6027,0.8809,0.6027
40,0.0053,0.0596,0.8733,0.6092,0.8733,0.6092
41,0.0052,0.0512,0.8723,0.5878,0.8723,0.5878
42,0.0053,0.0492,0.8655,0.5950,0.8655,0.5950
43,0.0050,0.0535,0.8886,0.6082,0.8886,0.6082
44,0.0051,0.0507,0.8841,0.6189,0.8841,0.6189
