epoch,tra_loss,val_loss,tra_dice,val_dice,tra_batch_dice,val_batch_dice
0,0.5479,0.2934,0.0234,0.2319,0.0234,0.2319
1,0.2201,0.1641,0.0000,0.3062,0.0000,0.3062
2,0.1308,0.1042,0.0740,0.4240,0.0740,0.4240
3,0.0857,0.0721,0.2813,0.4963,0.2813,0.4963
4,0.0612,0.0560,0.3889,0.5186,0.3889,0.5186
5,0.0465,0.0440,0.4592,0.5261,0.4592,0.5261
6,0.0381,0.0370,0.4622,0.5467,0.4622,0.5467
7,0.0308,0.0325,0.5359,0.5899,0.5359,0.5899
8,0.0262,0.0345,0.5777,0.5378,0.5777,0.5378
9,0.0226,0.0313,0.6005,0.5622,0.6005,0.5622
10,0.0202,0.0361,0.6211,0.5790,0.6211,0.5790
11,0.0179,0.0571,0.6415,0.2959,0.6415,0.2959
12,0.0162,0.0372,0.6689,0.5193,0.6689,0.5193
13,0.0144,0.0397,0.6880,0.4970,0.6880,0.4970
14,0.0132,0.0469,0.7146,0.3993,0.7146,0.3993
15,0.0125,0.0340,0.7197,0.5536,0.7197,0.5536
16,0.0109,0.0332,0.7555,0.5374,0.7555,0.5374
17,0.0108,0.0380,0.7392,0.5083,0.7392,0.5083
18,0.0101,0.0392,0.7506,0.5479,0.7506,0.5479
19,0.0096,0.0399,0.7734,0.6031,0.7734,0.6031
20,0.0089,0.0355,0.7975,0.5966,0.7975,0.5966
21,0.0087,0.0380,0.7842,0.5573,0.7842,0.5573
22,0.0087,0.0446,0.7873,0.5221,0.7873,0.5221
23,0.0081,0.0402,0.8041,0.5137,0.8041,0.5137
24,0.0081,0.0446,0.8006,0.5377,0.8006,0.5377
25,0.0076,0.0347,0.8169,0.5999,0.8169,0.5999
26,0.0072,0.0418,0.8185,0.5838,0.8185,0.5838
27,0.0073,0.0407,0.8155,0.5594,0.8155,0.5594
28,0.0069,0.0431,0.8175,0.5027,0.8175,0.5027
29,0.0068,0.0373,0.8370,0.5708,0.8370,0.5708
30,0.0066,0.0370,0.8380,0.6057,0.8380,0.6057
31,0.0063,0.0385,0.8399,0.5488,0.8399,0.5488
32,0.0064,0.0565,0.8333,0.4945,0.8333,0.4945
33,0.0062,0.0371,0.8358,0.5039,0.8358,0.5039
34,0.0061,0.0494,0.8482,0.4942,0.8482,0.4942
