epoch,tra_loss,val_loss,tra_dice,val_dice,tra_batch_dice,val_batch_dice
0,1.3250,0.8330,0.1372,0.3547,0.1372,0.3547
1,0.6486,0.4925,0.1332,0.4308,0.1332,0.4308
2,0.4024,0.3373,0.0671,0.2980,0.0671,0.2980
3,0.2624,0.2372,0.0509,0.4116,0.0509,0.4116
4,0.1735,0.1503,0.0346,0.4299,0.0346,0.4299
5,0.1270,0.1056,0.0229,0.3517,0.0229,0.3517
6,0.0982,0.0852,0.0488,0.4419,0.0488,0.4419
7,0.0785,0.0766,0.2316,0.4663,0.2316,0.4663
8,0.0690,0.0548,0.2371,0.4825,0.2371,0.4825
9,0.0616,0.0503,0.2098,0.5019,0.2098,0.5019
10,0.0570,0.0462,0.1629,0.4678,0.1629,0.4678
11,0.0517,0.0753,0.1768,0.4429,0.1768,0.4429
12,0.0474,0.0774,0.2466,0.4827,0.2466,0.4827
13,0.0450,0.0674,0.1958,0.4442,0.1958,0.4442
14,0.0426,0.0517,0.2689,0.4906,0.2689,0.4906
15,0.0396,0.0653,0.3013,0.5289,0.3013,0.5289
16,0.0374,0.0668,0.2743,0.5468,0.2743,0.5468
17,0.0338,0.0639,0.3153,0.4661,0.3153,0.4661
18,0.0321,0.0510,0.3175,0.5113,0.3175,0.5113
19,0.0303,0.0878,0.3945,0.4778,0.3945,0.4778
20,0.0289,0.0595,0.3645,0.5479,0.3645,0.5479
21,0.0263,0.0459,0.4391,0.5705,0.4391,0.5705
22,0.0245,0.0617,0.4789,0.5569,0.4789,0.5569
23,0.0229,0.0774,0.5364,0.5566,0.5364,0.5566
24,0.0190,0.0945,0.5931,0.5487,0.5931,0.5487
25,0.0194,0.0615,0.6106,0.5435,0.6106,0.5435
26,0.0162,0.0742,0.6450,0.5732,0.6450,0.5732
27,0.0167,0.0790,0.6510,0.5583,0.6510,0.5583
28,0.0156,0.1181,0.6737,0.4899,0.6737,0.4899
29,0.0140,0.0564,0.7007,0.5644,0.7007,0.5644
30,0.0128,0.0728,0.7370,0.5408,0.7370,0.5408
31,0.0139,0.1073,0.7220,0.5386,0.7220,0.5386
32,0.0119,0.0662,0.7402,0.5548,0.7402,0.5548
33,0.0117,0.0648,0.7481,0.5752,0.7481,0.5752
34,0.0113,0.0877,0.7499,0.5336,0.7499,0.5336
35,0.0110,0.0674,0.7522,0.5690,0.7522,0.5690
36,0.0112,0.0611,0.7566,0.6001,0.7566,0.6001
37,0.0104,0.0621,0.7742,0.5897,0.7742,0.5897
38,0.0113,0.0910,0.7698,0.5346,0.7698,0.5346
39,0.0097,0.0991,0.7981,0.5399,0.7981,0.5399
40,0.0093,0.1490,0.7845,0.4838,0.7845,0.4838
41,0.0089,0.0655,0.8046,0.6048,0.8046,0.6048
42,0.0086,0.0694,0.8181,0.5943,0.8181,0.5943
43,0.0084,0.0633,0.8137,0.6122,0.8137,0.6122
44,0.0087,0.0640,0.8082,0.6199,0.8082,0.6199
45,0.0084,0.0634,0.8112,0.5994,0.8112,0.5994
46,0.0084,0.0803,0.8179,0.5111,0.8179,0.5111
47,0.0080,0.0645,0.8225,0.6024,0.8225,0.6024
