epoch,tra_loss,val_loss,tra_dice,val_dice,tra_batch_dice,val_batch_dice
48,0.0081,0.0758,0.8208,0.5548,0.8208,0.5548
49,0.0083,0.0610,0.8230,0.6158,0.8230,0.6158
50,0.0072,0.0726,0.8351,0.5888,0.8351,0.5888
51,0.0069,0.0707,0.8516,0.6129,0.8516,0.6129
52,0.0070,0.0634,0.8472,0.5735,0.8472,0.5735
53,0.0071,0.0566,0.8349,0.6054,0.8349,0.6054
54,0.0074,0.0681,0.8374,0.5876,0.8374,0.5876
55,0.0067,0.0750,0.8544,0.5508,0.8544,0.5508
56,0.0067,0.0661,0.8501,0.5976,0.8501,0.5976
57,0.0064,0.0763,0.8545,0.6119,0.8545,0.6119
58,0.0069,0.0642,0.8548,0.5452,0.8548,0.5452
59,0.0067,0.0703,0.8487,0.6112,0.8487,0.6112
60,0.0062,0.0675,0.8552,0.6134,0.8552,0.6134
61,0.0061,0.0712,0.8655,0.6151,0.8655,0.6151
62,0.0060,0.0728,0.8626,0.5821,0.8626,0.5821
63,0.0063,0.0686,0.8640,0.6124,0.8640,0.6124
64,0.0059,0.0630,0.8676,0.5798,0.8676,0.5798
65,0.0056,0.0647,0.8736,0.6015,0.8736,0.6015
66,0.0056,0.0821,0.8727,0.6026,0.8727,0.6026
67,0.0056,0.0791,0.8795,0.5970,0.8795,0.5970
68,0.0057,0.0701,0.8714,0.5997,0.8714,0.5997
69,0.0057,0.0741,0.8749,0.5642,0.8749,0.5642
70,0.0053,0.0639,0.8834,0.6063,0.8834,0.6063
71,0.0054,0.0764,0.8835,0.5684,0.8835,0.5684
72,0.0054,0.0758,0.8851,0.5761,0.8851,0.5761
73,0.0054,0.0715,0.8721,0.5872,0.8721,0.5872
74,0.0052,0.0702,0.8873,0.5843,0.8873,0.5843
75,0.0051,0.0788,0.8864,0.6026,0.8864,0.6026
76,0.0050,0.0760,0.8887,0.5815,0.8887,0.5815
77,0.0050,0.0782,0.8848,0.6100,0.8848,0.6100
78,0.0051,0.0876,0.8829,0.6018,0.8829,0.6018
79,0.0050,0.0835,0.8913,0.6145,0.8913,0.6145
80,0.0046,0.0664,0.8988,0.5879,0.8988,0.5879
81,0.0046,0.0858,0.8982,0.6124,0.8982,0.6124
82,0.0048,0.0701,0.8881,0.6119,0.8881,0.6119
83,0.0046,0.0826,0.8979,0.5434,0.8979,0.5434
84,0.0046,0.0730,0.8968,0.5948,0.8968,0.5948
85,0.0047,0.0779,0.8977,0.6101,0.8977,0.6101
86,0.0045,0.0739,0.9058,0.6188,0.9058,0.6188
87,0.0045,0.0749,0.9014,0.6095,0.9014,0.6095
88,0.0046,0.0779,0.8998,0.5430,0.8998,0.5430
89,0.0047,0.0803,0.8936,0.6045,0.8936,0.6045
90,0.0046,0.0755,0.8960,0.5967,0.8960,0.5967
91,0.0044,0.0692,0.9016,0.6117,0.9016,0.6117
92,0.0040,0.0766,0.9084,0.5976,0.9084,0.5976
93,0.0041,0.0786,0.9118,0.5840,0.9118,0.5840
94,0.0040,0.0748,0.9114,0.6096,0.9114,0.6096
95,0.0042,0.0789,0.9036,0.6214,0.9036,0.6214
96,0.0043,0.0748,0.9082,0.5872,0.9082,0.5872
97,0.0041,0.0887,0.9084,0.5980,0.9084,0.5980
98,0.0040,0.1015,0.9132,0.5973,0.9132,0.5973
99,0.0041,0.0888,0.9039,0.6156,0.9039,0.6156
