epoch,tra_loss,val_loss,tra_dice,val_dice,tra_batch_dice,val_batch_dice
0,1.1895,0.5924,0.1630,0.5463,0.1630,0.5463
1,0.4747,0.4128,0.0988,0.4278,0.0988,0.4278
2,0.2827,0.2178,0.0822,0.4874,0.0822,0.4874
3,0.1930,0.1777,0.0496,0.4178,0.0496,0.4178
4,0.1408,0.1248,0.0278,0.4164,0.0278,0.4164
5,0.1110,0.0897,0.0331,0.4448,0.0331,0.4448
6,0.0920,0.0777,0.0424,0.4319,0.0424,0.4319
7,0.0814,0.0659,0.0813,0.4348,0.0813,0.4348
8,0.0734,0.0623,0.1456,0.3923,0.1456,0.3923
9,0.0676,0.0574,0.1876,0.4372,0.1876,0.4372
10,0.0596,0.0600,0.2431,0.3774,0.2431,0.3774
11,0.0550,0.0558,0.3529,0.4058,0.3529,0.4058
12,0.0510,0.0471,0.4049,0.4788,0.4049,0.4788
13,0.0465,0.0520,0.3903,0.4212,0.3903,0.4212
14,0.0413,0.0441,0.4302,0.5143,0.4302,0.5143
15,0.0373,0.0396,0.4829,0.5851,0.4829,0.5851
16,0.0339,0.0411,0.5256,0.5355,0.5256,0.5355
17,0.0282,0.0409,0.5632,0.5585,0.5632,0.5585
18,0.0294,0.0403,0.5416,0.5299,0.5416,0.5299
19,0.0263,0.0477,0.5724,0.5059,0.5724,0.5059
20,0.0237,0.0517,0.6147,0.5384,0.6147,0.5384
21,0.0222,0.0505,0.6196,0.5862,0.6196,0.5862
22,0.0196,0.0532,0.6473,0.5717,0.6473,0.5717
23,0.0213,0.0531,0.6383,0.5861,0.6383,0.5861
24,0.0173,0.0660,0.6873,0.5452,0.6873,0.5452
25,0.0168,0.0618,0.6842,0.5801,0.6842,0.5801
26,0.0161,0.0597,0.6956,0.5813,0.6956,0.5813
27,0.0151,0.0746,0.7112,0.5375,0.7112,0.5375
28,0.0143,0.0713,0.7280,0.5560,0.7280,0.5560
29,0.0141,0.0672,0.7247,0.5736,0.7247,0.5736
30,0.0138,0.0637,0.7371,0.5917,0.7371,0.5917
31,0.0129,0.0684,0.7408,0.6196,0.7408,0.6196
32,0.0127,0.0552,0.7511,0.6241,0.7511,0.6241
33,0.0119,0.0679,0.7685,0.5690,0.7685,0.5690
34,0.0119,0.0677,0.7671,0.5835,0.7671,0.5835
35,0.0117,0.0707,0.7776,0.5718,0.7776,0.5718
36,0.0108,0.0700,0.7871,0.6112,0.7871,0.6112
37,0.0105,0.0786,0.7799,0.5733,0.7799,0.5733
38,0.0111,0.0896,0.7894,0.4900,0.7894,0.4900
39,0.0099,0.0716,0.7966,0.6029,0.7966,0.6029
40,0.0093,0.0995,0.8161,0.5016,0.8161,0.5016
41,0.0097,0.0713,0.8104,0.6016,0.8104,0.6016
42,0.0095,0.0669,0.8140,0.6237,0.8140,0.6237
43,0.0098,0.0767,0.8063,0.6132,0.8063,0.6132
44,0.0094,0.0774,0.8097,0.5879,0.8097,0.5879
45,0.0082,0.0928,0.8258,0.5793,0.8258,0.5793
46,0.0081,0.0669,0.8292,0.6107,0.8292,0.6107
47,0.0083,0.0763,0.8362,0.6445,0.8362,0.6445
48,0.0084,0.0731,0.8396,0.6074,0.8396,0.6074
49,0.0084,0.0694,0.8205,0.6387,0.8205,0.6387
50,0.0077,0.0793,0.8432,0.6150,0.8432,0.6150
51,0.0078,0.0666,0.8468,0.5317,0.8468,0.5317
52,0.0078,0.0799,0.8383,0.6010,0.8383,0.6010
53,0.0078,0.0733,0.8447,0.5680,0.8447,0.5680
54,0.0076,0.0734,0.8474,0.6511,0.8474,0.6511
55,0.0073,0.0852,0.8576,0.6323,0.8576,0.6323
56,0.0071,0.0814,0.8548,0.6061,0.8548,0.6061
57,0.0066,0.0702,0.8619,0.6244,0.8619,0.6244
58,0.0067,0.0680,0.8580,0.6239,0.8580,0.6239
59,0.0067,0.0757,0.8620,0.6409,0.8620,0.6409
60,0.0070,0.0727,0.8544,0.6010,0.8544,0.6010
61,0.0064,0.0846,0.8644,0.6276,0.8644,0.6276
62,0.0066,0.0719,0.8715,0.6047,0.8715,0.6047
63,0.0064,0.0860,0.8617,0.6206,0.8617,0.6206
64,0.0063,0.0652,0.8732,0.5988,0.8732,0.5988
65,0.0059,0.0714,0.8732,0.5946,0.8732,0.5946
66,0.0058,0.0913,0.8719,0.6364,0.8719,0.6364
67,0.0061,0.0773,0.8719,0.6028,0.8719,0.6028
68,0.0064,0.0751,0.8722,0.5904,0.8722,0.5904
69,0.0065,0.0693,0.8660,0.5959,0.8660,0.5959
70,0.0062,0.0825,0.8740,0.6114,0.8740,0.6114
71,0.0053,0.0891,0.8833,0.6294,0.8833,0.6294
72,0.0058,0.0829,0.8782,0.5748,0.8782,0.5748
73,0.0054,0.0770,0.8841,0.5883,0.8841,0.5883
74,0.0054,0.0880,0.8850,0.6389,0.8850,0.6389
75,0.0054,0.1114,0.8873,0.4512,0.8873,0.4512
76,0.0055,0.0788,0.8871,0.5967,0.8871,0.5967
