epoch,tra_loss,val_loss,tra_dice,val_dice,tra_batch_dice,val_batch_dice
77,0.0052,0.0825,0.8930,0.6229,0.8930,0.6229
78,0.0050,0.0764,0.8935,0.6078,0.8935,0.6078
79,0.0050,0.0742,0.8953,0.5565,0.8953,0.5565
80,0.0053,0.0856,0.8873,0.5960,0.8873,0.5960
81,0.0051,0.0838,0.8926,0.5814,0.8926,0.5814
82,0.0052,0.0859,0.8917,0.5538,0.8917,0.5538
83,0.0050,0.0884,0.8901,0.6271,0.8901,0.6271
84,0.0049,0.0722,0.9027,0.5293,0.9027,0.5293
85,0.0048,0.0729,0.8972,0.5805,0.8972,0.5805
86,0.0046,0.0789,0.8979,0.6137,0.8979,0.6137
87,0.0047,0.0938,0.9013,0.6377,0.9013,0.6377
88,0.0045,0.0904,0.9052,0.5876,0.9052,0.5876
89,0.0046,0.0886,0.8984,0.6028,0.8984,0.6028
90,0.0046,0.0810,0.9061,0.5738,0.9061,0.5738
91,0.0053,0.0863,0.8872,0.6234,0.8872,0.6234
92,0.0046,0.0897,0.8995,0.5783,0.8995,0.5783
93,0.0044,0.0695,0.9089,0.5745,0.9089,0.5745
94,0.0045,0.0712,0.9038,0.6058,0.9038,0.6058
95,0.0045,0.0863,0.9039,0.6423,0.9039,0.6423
96,0.0041,0.0962,0.9132,0.6202,0.9132,0.6202
97,0.0042,0.0877,0.9123,0.6030,0.9123,0.6030
98,0.0041,0.0857,0.9090,0.6301,0.9090,0.6301
99,0.0042,0.0956,0.9090,0.6166,0.9090,0.6166
